name,party,BT-Period
Hannes Walter,SPD,20
Carmen Wegge,SPD,20
Melanie Wegling,SPD,20
Saskia Weishaupt,GRÜNE,20
Maria-Lena Weiss,CDU,20
Stefan Wenzel,GRÜNE,20
Lena Werner,SPD,20
Klaus Wiener,CDU,20
Tobias Winkler,CSU,20
Tina Winklmann,GRÜNE,20
Janine Wissler,DIE LINKE,20
Mechthilde Wittmann,CSU,20
Herbert Wollmann,SPD,20
Mareike Lotte Wulf,CDU,20
Joachim Wundrak,AfD,20
Kay-Uwe Ziegler,AfD,20
Nicolas Zippelius,CDU,20
Armand Zorn,SPD,20
Katrin Zschau,SPD,20
Claudia Raffelhüschen,FDP,20
Clara Bünger,DIE LINKE,20
Michael Sacher,GRÜNE,20
Nils Gründer,FDP,20
Daniel Rinkert,SPD,20
Alexander Bartz,SPD,20
Emily Vontz,SPD,20
Dirk-Ulrich Mende,SPD,20
Alexander Föhr,CDU,20
Rainer Rothfuß,AfD,20
Ana-Maria Trăsnea,SPD,20
Christian Bartelt,FDP,20
Tim Wagner,FDP,20
Nadine Ruf,SPD,20
Jürgen Kretz,GRÜNE,20
Boris Pistorius,SPD,20
Nancy Faeser,SPD,20
Peter Bleser,CDU,19
Eberhard Brecht,SPD,19
Jörg-Diether Dehm-Desoi,DIE LINKE,19
Diether Dehm,DIE LINKE,19
Hans-Joachim Fuchtel,CDU,19
Ulla Jelpke,DIE LINKE,19
Volker Kauder,CDU,19
Katharina Landgraf,CDU,19
Christoph Matschie,SPD,19
Angela Merkel,CDU,19
Christian Schmidt,CSU,19
Ulla Schmidt,SPD,19
Michael Stübgen,CDU,19
Peter Altmaier,CDU,19
Doris Barnett,SPD,19
Dagmar Freitag,SPD,19
Barbara Hendricks,SPD,19
Karl A. Lamers,CDU,19
Hans Michelbach,CSU,19
Gerd Müller,CSU,19
Johannes Selle,CDU,19
Bernd Siebert,CDU,19
Ute Vogt,SPD,19
Norbert Barthle,CDU,19
Lothar Binding,SPD,19
Ralf Brauksiepe,CDU,19
Marie-Luise Dött,CDU,19
Axel E. Fischer,CDU,19
Gustav Herzog,SPD,19
Martin Hohmann,AfD,19
Johannes Kahrs,SPD,19
Christine Lambrecht,SPD,19
Christian Lange,SPD,19
Andrea Nahles,SPD,19
Kersten Naumann,DIE LINKE,19
Kersten Steinke,DIE LINKE,19
René Röspel,SPD,19
Ernst Dieter Rossmann,SPD,19
Anita Schäfer,CDU,19
Ewald Schurer,SPD,19
Arnold Vaatz,CDU,19
Peter Weiß,CDU,19
Ingrid Arndt-Brauer,SPD,19
Carola Reimann,SPD,19
Ulrich Kelber,SPD,19
Kerstin Andreae,GRÜNE,19
Veronika Bellmann,CDU,19
Marco Bülow,Die PARTEI,19
Maria Flachsbarth,CDU,19
Eberhard Gienger,CDU,19
Anja Hajduk,GRÜNE,19
Gabriele Hiller-Ohm,SPD,19
Caren Marks,SPD,19
Hilde Mattheis,SPD,19
Marlene Mortler,CSU,19
Georg Nüßlein,Plos,19
Friedrich Ostendorff,GRÜNE,19
Joachim Pfeiffer,CDU,19
Florian Pronold,SPD,19
Sascha Raabe,SPD,19
Swen Schulz,SPD,19
Uwe Schummer,CDU,19
Michaela Tadjadod,CDU,19
Michaela Noll,CDU,19
Volkmar Uwe Vogel,CDU,19
Volkmar Vogel,CDU,19
Ingo Wellenreuther,CDU,19
Monika Lazar,GRÜNE,19
Heidrun Bluhm,DIE LINKE,19
Heidrun Bluhm-Förster,DIE LINKE,19
Martin Burkert,SPD,19
Sigmar Gabriel,SPD,19
Heike Hänsel,DIE LINKE,19
Alois Karl,CSU,19
Sylvia Kotting-Uhl,GRÜNE,19
Andreas G. Lämmel,CDU,19
Michael Leutert,DIE LINKE,19
Thomas Oppermann,SPD,19
Eckhardt Rehberg,CDU,19
Johannes Röring,CDU,19
Gerhard Schick,GRÜNE,19
Kirsten Tackmann,DIE LINKE,19
Axel Troost,DIE LINKE,19
Kai Wegner,CDU,19
Sabine Zimmermann,DIE LINKE,19
Manuel Sarrazin,GRÜNE,19
Manfred Behrens,CDU,19
Norbert Brackmann,CDU,19
Christine Buchholz,DIE LINKE,19
Katja Dörner,GRÜNE,19
Alois Gerig,CDU,19
Michael Groß,SPD,19
